Frame, Time (ms), Delta (ms) , Memory (mb)
  301,4684.668,15.646,5497
  302,4699.468,14.800,5496
  303,4715.036,15.568,5496
  304,4730.655,15.619,5496
  305,4740.895,10.240,5496
  306,4757.727,16.832,5496
  307,4770.490,12.763,5496
  308,4786.786,16.296,5496
  309,4800.415,13.629,5496
  310,4816.755,16.340,5496
  311,4829.651,12.896,5496
  312,4847.352,17.701,5496
  313,4855.277, 7.925,5496
  314,4868.492,13.215,5496
  315,4882.866,14.374,5496
  316,4900.749,17.883,5496
  317,4913.313,12.564,5495
  318,4925.573,12.260,5495
  319,4942.813,17.240,5495
  320,4955.459,12.646,5495
  321,4968.239,12.780,5495
  322,4987.324,19.085,5495
  323,4997.265, 9.941,5495
  324,5012.089,14.824,5495
  325,5030.116,18.027,5495
  326,5040.837,10.721,5495
  327,5054.138,13.301,5495
  328,5072.467,18.329,5496
  329,5083.521,11.054,5496
  330,5100.051,16.530,5496
  331,5111.079,11.028,5496
  332,5124.825,13.746,5496
  333,5139.721,14.896,5496
  334,5160.805,21.084,5496
  335,5175.428,14.623,5496
  336,5186.316,10.888,5496
  337,5199.860,13.544,5496
  338,5217.060,17.200,5496
  339,5224.175, 7.115,5496
  340,5244.059,19.884,5496
  341,5252.614, 8.555,5496
  342,5267.567,14.953,5496
  343,5284.359,16.792,5496
  344,5295.475,11.116,5496
  345,5314.306,18.831,5496
  346,5331.290,16.984,5496
  347,5343.152,11.862,5496
  348,5354.185,11.033,5496
  349,5371.665,17.480,5496
  350,5384.045,12.380,5496
  351,5394.954,10.909,5496
  352,5411.605,16.651,5496
  353,5423.053,11.448,5496
  354,5436.978,13.925,5496
  355,5455.610,18.632,5496
  356,5466.708,11.098,5496
  357,5485.289,18.581,5496
  358,5500.852,15.563,5496
  359,5515.339,14.487,5496
  360,5528.619,13.280,5496
  361,5539.867,11.248,5496
  362,5566.985,27.118,5496
  363,5580.899,13.914,5496
  364,5597.321,16.422,5496
  365,5612.792,15.471,5496
  366,5627.352,14.560,5496
  367,5638.989,11.637,5496
  368,5651.743,12.754,5496
  369,5667.162,15.419,5496
  370,5679.763,12.601,5496
  371,5693.793,14.030,5496
  372,5705.501,11.708,5496
  373,5720.296,14.795,5496
  374,5737.604,17.308,5496
  375,5751.769,14.165,5496
  376,5761.553, 9.784,5496
  377,5776.209,14.656,5496
  378,5789.500,13.290,5496
  379,5807.033,17.534,5496
  380,5818.340,11.307,5496
  381,5834.427,16.087,5496
  382,5847.153,12.726,5496
  383,5862.627,15.474,5496
  384,5880.147,17.520,5496
  385,5891.969,11.822,5496
  386,5904.459,12.490,5496
  387,5919.757,15.298,5496
  388,5932.194,12.437,5496
  389,5945.905,13.711,5496
  390,5958.345,12.440,5496
  391,5972.267,13.922,5496
