os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16309452,5.8.9-zen2-1-zen,4.6.0 NVIDIA 450.66
fps,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.9619,17,15,39,37,162,324,0.327576,4.31771,3003694
59.9418,17,15,39,37,162,324,0.327576,4.31771,3103767
59.9923,17,15,39,37,162,324,0.327576,4.31771,3203875
59.9989,17,15,39,37,162,324,0.327576,4.31771,3304002
60.8088,16,15,39,37,162,324,0.327576,4.31703,3404110
59.9121,16,15,39,37,162,324,0.327576,4.31703,3504181
60.1233,16,15,39,37,162,324,0.327576,4.31703,3604252
60.0406,16,15,39,37,162,324,0.327576,4.31703,3704327
59.9298,16,15,39,37,162,324,0.327576,4.31703,3804398
59.7532,18,38,39,37,162,324,0.327576,4.31656,3904472
59.4349,18,38,39,37,162,324,0.327576,4.31656,4004545
60.1367,18,38,39,37,162,324,0.327576,4.31656,4104611
58.9659,18,38,39,37,162,324,0.327576,4.31656,4204697
59.8065,18,38,39,37,162,324,0.327576,4.31656,4304768
56.0067,24,22,40,37,270,324,0.327576,4.31757,4404848
59.7127,24,22,40,37,270,324,0.327576,4.31757,4504918
59.8499,24,22,40,37,270,324,0.327576,4.31757,4605036
60.1064,24,22,40,37,270,324,0.327576,4.31757,4705157
60.0719,24,22,40,37,270,324,0.327576,4.31757,4805276
60.0648,27,35,40,37,324,324,0.325623,4.31816,4905354
59.9946,27,35,40,37,324,324,0.325623,4.31816,5005425
59.8907,27,35,40,37,324,324,0.325623,4.31816,5105496
59.9413,27,35,40,37,324,324,0.325623,4.31816,5205581
59.9493,27,35,40,37,324,324,0.325623,4.31816,5305703
56.5807,27,35,40,37,324,324,0.325623,4.31816,5405779
70.0467,24,38,41,37,324,324,0.330505,4.31731,5505844
66.5022,24,38,41,37,324,324,0.330505,4.31731,5605913
64.2472,24,38,41,37,324,324,0.330505,4.31731,5706022
63.1209,24,38,41,37,324,324,0.330505,4.31731,5806140
62.4429,24,38,41,37,324,324,0.330505,4.31731,5906221
60.0444,25,10,41,38,1227,3505,0.340759,4.31755,6006322
60.0986,25,10,41,38,1227,3505,0.340759,4.31755,6106438
60.0281,25,10,41,38,1227,3505,0.340759,4.31755,6206537
60.0171,25,10,41,38,1227,3505,0.340759,4.31755,6306640
60.0366,25,10,41,38,1227,3505,0.340759,4.31755,6406763
59.7443,14,9,41,38,1227,3505,0.340759,4.31704,6506886
60.0272,14,9,41,38,1227,3505,0.340759,4.31704,6606906
59.9667,14,9,41,38,1227,3505,0.340759,4.31704,6706970
60.0064,14,9,41,38,1227,3505,0.340759,4.31704,6807057
59.9886,14,9,41,38,1227,3505,0.340759,4.31704,6907134
60.0222,22,9,41,38,1227,3505,0.340759,4.31717,7007254
60.0056,22,9,41,38,1227,3505,0.340759,4.31717,7107374
60.0531,22,9,41,38,1227,3505,0.340759,4.31717,7207434
60.0339,22,9,41,38,1227,3505,0.340759,4.31717,7307506
59.9942,22,9,41,38,1227,3505,0.340759,4.31717,7407622
60.2047,11,9,40,38,1227,3505,0.340759,4.31785,7507699
60.0075,11,9,40,38,1227,3505,0.340759,4.31785,7607782
60.0484,11,9,40,38,1227,3505,0.340759,4.31785,7707853
60.0489,11,9,40,38,1227,3505,0.340759,4.31785,7807916
60.0057,11,9,40,38,1227,3505,0.340759,4.31785,7907983
59.9981,16,9,40,38,1227,3505,0.340759,4.31708,8008045
60.0072,16,9,40,38,1227,3505,0.340759,4.31708,8108116
59.9898,16,9,40,38,1227,3505,0.340759,4.31708,8208186
59.9964,16,9,40,38,1227,3505,0.340759,4.31708,8308256
60.0045,16,9,40,38,1227,3505,0.340759,4.31708,8408336
60.0223,16,9,40,38,1227,3505,0.340759,4.31708,8508416
59.8716,15,10,41,38,1227,3505,0.340759,4.31735,8608492
60.0175,15,10,41,38,1227,3505,0.340759,4.31735,8708565
60.0355,15,10,41,38,1227,3505,0.340759,4.31735,8808636
59.9844,15,10,41,38,1227,3505,0.340759,4.31735,8908715
